Ming-Yang Kao;Ming-Yang.Kao@gmail.com;Mexico
Demetres D. Kouvatsos;Demetres.Kouvatsos@gmail.com;Spain
Grzegorz Rozenberg;Grzegorz.Rozenberg@gmail.com;United Kingdom
Thomas Bäck;Thomas.Bäck@gmail.com;Austria
Joost N. Kok;Joost.Kok@gmail.com;Spain
Shashi Shekhar;Shashi.Shekhar@gmail.com;Austria
Hui Xiong;Hui.Xiong@gmail.com;Italy
Marco Aiello 0001;Marco.0001@gmail.com;South Korea
Ian Pratt-Hartmann;Ian.Pratt-Hartmann@gmail.com;Netherlands
Johan van Benthem;Johan.Benthem@gmail.com;Turkey
Dieter Jaeger;Dieter.Jaeger@gmail.com;Austria
Ranu Jung;Ranu.Jung@gmail.com;Australia
Christodoulos A. Floudas;Christodoulos.Floudas@gmail.com;Brazil
Panos M. Pardalos;Panos.Pardalos@gmail.com;People's Republic of China
David G. Schwartz;David.Schwartz@gmail.com;Denmark
Dov Te'eni;Dov.Te'eni@gmail.com;United States
Yin Leng Theng;Yin.Theng@gmail.com;Mexico
Schubert Foo;Schubert.Foo@gmail.com;Egypt
Dion Hoe-Lian Goh;Dion.Goh@gmail.com;Switzerland
Jin-Cheon Na;Jin-Cheon.Na@gmail.com;Japan
Ling Liu;Ling.Liu@gmail.com;Belgium
M. Tamer Özsu;M..Özsu@gmail.com;People's Republic of China
John Wang;John.Wang@gmail.com;India
Marian Quigley;Marian.Quigley@gmail.com;United Kingdom
Robert A. Meyers;Robert.Meyers@gmail.com;Canada
John Baillieul;John.Baillieul@gmail.com;People's Republic of China
Tariq Samad;Tariq.Samad@gmail.com;Austria
Borko Furht;Borko.Furht@gmail.com;People's Republic of China
Henk C. A. van Tilborg;Henk.Tilborg@gmail.com;Sweden
Sushil Jajodia;Sushil.Jajodia@gmail.com;South Korea
Oded Maimon;Oded.Maimon@gmail.com;Austria
Lior Rokach;Lior.Rokach@gmail.com;Austria
Phillip A. Laplante;Phillip.Laplante@gmail.com;United Kingdom
Peter P. Stavroulakis;Peter.Stavroulakis@gmail.com;Denmark
Mark Stamp;Mark.Stamp@gmail.com;Greece
Nitin Indurkhya;Nitin.Indurkhya@gmail.com;Mexico
Fred J. Damerau;Fred.Damerau@gmail.com;Norway
Bruno Siciliano;Bruno.Siciliano@gmail.com;Norway
