name;email;affiliation
E. F. Codd;E..Codd@gmail.com;University of Oxford
C. J. Date;C..Date@gmail.com;The University of Edinburgh
Patrick A. V. Hall;Patrick.Hall@gmail.com;University of Cambridge
Markus Tresch;Markus.Tresch@gmail.com;The University of Edinburgh
Markus Casper;Markus.Casper@gmail.com;Peking University
Gayane Grigoryan;Gayane.Grigoryan@gmail.com;University of Oxford
Oliver Gronz;Oliver.Gronz@gmail.com;University of Oxford
Oliver Gutjahr;Oliver.Gutjahr@gmail.com;Imperial College London
Günther Heinemann;Günther.Heinemann@gmail.com;Harvard University
Rita Ley;Rita.Ley@gmail.com;EPFL
Andreas Rock;Andreas.Rock@gmail.com;Politecnico di Milano
Hugo Hellebrand;Hugo.Hellebrand@gmail.com;University of Pennsylvania
Ralf Merz;Ralf.Merz@gmail.com;Cornell University
Michael Ley;Michael.Ley@gmail.com;University of Oxford
Gerhard Kramer;Gerhard.Kramer@gmail.com;University of Oxford
Yingbin Liang;Yingbin.Liang@gmail.com;Stanford University
H. Vincent Poor;H..Poor@gmail.com;Imperial College London
Shlomo Shamai;Shlomo.Shamai@gmail.com;Imperial College London
Evgueni A. Haroutunian;Evgueni.Haroutunian@gmail.com;University of Oxford
Mariam E. Haroutunian;Mariam.Haroutunian@gmail.com;Peking University
Ashot N. Harutyunyan;Ashot.Harutyunyan@gmail.com;The University of Edinburgh
Tanya Ignatenko;Tanya.Ignatenko@gmail.com;University of Chicago
Frans M. J. Willems;Frans.Willems@gmail.com;University of Oxford
Xiaohu Shang;Xiaohu.Shang@gmail.com;Imperial College London
Biao Chen;Biao.Chen@gmail.com;ETH Zurich
Ezio Biglieri;Ezio.Biglieri@gmail.com;Politecnico di Milano
Emanuele Grossi;Emanuele.Grossi@gmail.com;Imperial College London
Marco Lops;Marco.Lops@gmail.com;University of Cambridge
Frédérique E. Oggier;Frédérique.Oggier@gmail.com;Stanford University
Jean-Claude Belfiore;Jean-Claude.Belfiore@gmail.com;University of Cambridge
Emanuele Viterbo;Emanuele.Viterbo@gmail.com;National University of Singapore (NUS)
Jesús Gutiérrez-Gutiérrez;Jesús.Gutiérrez-Gutiérrez@gmail.com;Tsinghua University
Pedro M. Crespo;Pedro.Crespo@gmail.com;University of Oxford
Albert Guillen i Fabregas;Albert.Fabregas@gmail.com;ETH Zurich
Giuseppe Caire;Giuseppe.Caire@gmail.com;University of Oxford
Eduard A. Jorswieck;Eduard.Jorswieck@gmail.com;EPFL
Holger Boche;Holger.Boche@gmail.com;Stanford University
Qing Wang;Qing.Wang@gmail.com;Yale University
Sanjeev R. Kulkarni;Sanjeev.Kulkarni@gmail.com;Politecnico di Milano
Sergio Verdú;Sergio.Verdú@gmail.com;University of Oxford
Eren Sasoglu;Eren.Sasoglu@gmail.com;University of Pennsylvania
Neri Merhav;Neri.Merhav@gmail.com;University of Cambridge
Maxim Raginsky;Maxim.Raginsky@gmail.com;ETH Zurich
Igal Sason;Igal.Sason@gmail.com;ETH Zurich
Anwitaman Datta;Anwitaman.Datta@gmail.com;Stanford University
Osvaldo Simeone;Osvaldo.Simeone@gmail.com;Politecnico di Milano
Nathan Levy;Nathan.Levy@gmail.com;Cornell University
Amichai Sanderovich;Amichai.Sanderovich@gmail.com;Massachusetts Institute of Technology
Oren Somekh;Oren.Somekh@gmail.com;National University of Singapore (NUS)
Benjamin M. Zaidel;Benjamin.Zaidel@gmail.com;Princeton University
Mohammad Amin Shokrollahi;Mohammad.Shokrollahi@gmail.com;Harvard University
Michael Luby;Michael.Luby@gmail.com;University of Chicago
Raymond W. Yeung;Raymond.Yeung@gmail.com;Cornell University
Shuo-Yen Robert Li;Shuo-Yen.Li@gmail.com;Peking University
Ning Cai;Ning.Cai@gmail.com;California Institute of Technology
Zhen Zhang;Zhen.Zhang@gmail.com;University of Pennsylvania
Vincent Y. F. Tan;Vincent.Tan@gmail.com;Tsinghua University
Ingmar Land;Ingmar.Land@gmail.com;Politecnico di Milano
Johannes B. Huber;Johannes.Huber@gmail.com;ETH Zurich
Giorgio Taricco;Giorgio.Taricco@gmail.com;Imperial College London
Jerry D. Gibson;Jerry.Gibson@gmail.com;Peking University
Jing Hu;Jing.Hu@gmail.com;Tsinghua University
Daniel Pérez Palomar;Daniel.Palomar@gmail.com;Yale University
Yi Jiang;Yi.Jiang@gmail.com;Stanford University
Martin Schubert;Martin.Schubert@gmail.com;Peking University
Antonia Maria Tulino;Antonia.Tulino@gmail.com;Tsinghua University
Edmund M. Yeh;Edmund.Yeh@gmail.com;Yale University
Guy Keshet;Guy.Keshet@gmail.com;Princeton University
Yossef Steinberg;Yossef.Steinberg@gmail.com;Princeton University
Syed Ali Jafar;Syed.Jafar@gmail.com;Princeton University
Robert M. Gray;Robert.Gray@gmail.com;Harvard University
Imre Csiszár;Imre.Csiszár@gmail.com;Politecnico di Milano
Paul C. Shields;Paul.Shields@gmail.com;Harvard University
Mung Chiang;Mung.Chiang@gmail.com;Yale University
Emil Björnson;Emil.Björnson@gmail.com;EPFL
Michael Huber;Michael.Huber@gmail.com;Cornell University
Eric Puryear;Eric.Puryear@gmail.com;ETH Zurich
Jennifer Van Puymbrouck;Jennifer.Puymbrouck@gmail.com;Imperial College London
David Sigfredo Angulo;David.Angulo@gmail.com;University of Chicago
Kevin Drew;Kevin.Drew@gmail.com;Stanford University
Lee Ann Hollenbeck;Lee.Hollenbeck@gmail.com;Cornell University
Dominic Battré;Dominic.Battré@gmail.com;Massachusetts Institute of Technology
Alex Schilling;Alex.Schilling@gmail.com;University of Chicago
David Jabon;David.Jabon@gmail.com;California Institute of Technology
Gregor von Laszewski;Gregor.Laszewski@gmail.com;Peking University
Marie desJardins;Marie.desJardins@gmail.com;ETH Zurich
Sarah Smith Heckman;Sarah.Heckman@gmail.com;National University of Singapore (NUS)
Aniket Kittur;Aniket.Kittur@gmail.com;University of Oxford
Peter Kinnaird;Peter.Kinnaird@gmail.com;Imperial College London
